what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1258726896460
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726909100
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726910741
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726911897
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1258726913881
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1258726915850
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726916194
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726917740
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726919787
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726923647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726925006
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726939115
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726941318
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726942552
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726970458
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726978302
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726979380
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726983395
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258726989833
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726992551
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1258726996801
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1258727004301
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1258727019410
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1258727021957
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1258727025285
